"PID","Sale_Price"
906380170,194167.131788453
902204080,80030.3432855324
535478110,123920.798494776
908152270,175890.291852526
903458060,109947.633871235
907285100,237060.12238823
535377090,144070.144207551
527354200,182108.18015167
911128020,124912.852065203
533242030,220974.235355435
907135080,147977.523627004
902104020,156396.505737926
907414070,188805.162977936
528228450,181073.786830113
905425125,239948.543931752
534225110,146967.586075975
903427090,160978.495969822
902109080,118036.263864974
531452020,127085.571343184
534451020,58430.1816766902
531375120,155194.810262761
531451280,219955.777378479
907192030,185290.060820621
526350040,124607.904507421
534202030,143014.978838512
528172150,278947.608140746
908275240,79297.5086499029
908151040,147021.697490968
528458130,325678.345966249
532378200,142033.356647528
535303030,167812.481784598
533208040,199927.18489691
905201110,184984.258010712
527126030,251157.139479623
907412080,185935.98561597
528142010,308179.96043923
916403020,180068.622302805
528120060,348225.92773909
904351280,127477.037372333
533244030,253928.498978292
924100070,161279.524831405
906392100,248288.602618784
905200350,154467.593287631
535125010,180087.513243888
907180120,213956.724744472
534251320,144232.500291974
527252050,320030.105206501
905451330,159897.210476894
527356020,250100.202889925
909131170,140012.678521907
528218030,170014.367874542
903454060,54994.1885395894
907252020,247381.949159199
923202060,114595.653332012
528435040,314361.079444058
905201080,187034.003336764
905300080,146210.719706095
905229040,161417.549761528
907254050,210057.480700702
903426160,159992.087308611
923228290,84474.9757651679
535402070,147402.019664156
909101080,87959.2791623145
535175030,164460.478431622
531475220,163980.4604068
903454010,127038.191663416
528228360,215148.799689031
534427010,85977.2788370219
905476225,139694.979397262
907202050,150509.939012387
903227090,124426.930966899
907290230,138991.206421986
531375070,142428.073974567
534427140,148450.190097811
531452100,151037.788484907
528186100,332167.97621003
914476050,135057.457997022
535382130,169981.294871259
906226080,147077.511987946
902207120,96070.9458222518
531376050,184874.38427368
907295100,184979.142054119
903476090,112000.740005379
531375060,137442.541316433
535453150,140094.955007966
528106050,491993.234990856
535454060,93748.2308301723
528106070,325034.506736313
923229010,154475.106370936
908102050,108029.787387517
535425040,184378.209850478
533221030,179743.322438342
528427020,245220.494673717
535352080,118439.494767302
907203060,112497.768772586
903201080,163425.768511146
908188130,130133.070882123
907420080,188981.522697407
908186070,140168.055986597
531382090,181573.01657601
527353080,178190.350572417
533350050,384905.840435961
528218130,179691.904816996
534403100,168557.187854749
905402070,101256.152121026
533253050,163239.78360062
907230240,146195.103550388
527403040,156003.539046205
909252110,176919.706149369
907290090,213045.365694358
923202025,195560.15590269
534403360,136351.497524055
527454120,148396.968142367
907250020,234934.626346186
907414060,184392.980730219
909250200,149045.847538342
923251160,80004.4740101577
527182190,212030.286758255
528363130,325113.2504466
535452140,118828.803449499
527216050,438722.323368246
904100140,244339.724603433
916125360,191308.949257673
528250010,165545.939122566
534276070,145065.566371864
527357110,146799.77122242
528441090,445073.960374637
531380080,238065.129404194
904101170,114330.175500103
527404150,110035.326964304
903231220,75018.89832469
527161010,181729.795400067
528385050,259893.722948365
907181090,202824.934735009
532376160,135922.149434756
903236130,199992.212378595
534425310,137524.356720997
905450020,127009.360507088
535450210,131990.646043979
533206070,218757.512552767
533223110,138951.313892479
903232090,152376.787120895
902427040,87053.0777049415
534151090,188438.020732232
527359030,160421.413078637
906225180,224482.116317786
527107010,173008.862199552
905200220,138944.290812108
906340130,331957.067671042
903233050,137512.291133196
907253060,235122.456228919
532378220,123150.775825333
909428170,236548.833621439
907275030,210946.804034116
905452140,148377.297835728
905378040,124035.131345787
905200260,164928.688864813
528186030,273925.846813386
533242080,203948.375010032
907412070,210026.031806516
535300120,163363.282621755
528240020,183705.282691094
908127120,109733.520570199
902106120,86369.9416457474
907270040,267135.68950004
528275160,257435.066056414
907420110,166995.559906984
902111010,111526.32638224
528240080,230458.921636153
535401140,159917.492914931
528228290,174046.308404684
527454130,145980.132814666
527455080,148361.733254147
528427040,224094.319498323
916460070,201967.733372443
908275220,115029.467211602
533352150,165968.324162932
528458180,238623.839955527
902305080,129604.345496947
907200250,159960.353744462
907135180,134353.342494007
907200110,130217.737728023
903454020,71997.3323061498
905108090,156471.397631547
907202010,156150.748484282
907262050,236992.986685881
911370490,294107.478867501
527365030,263428.646470249
527110080,177035.319697688
534431030,136944.964345283
531452010,120016.670496814
528439010,246969.901375052
527212050,324844.546328968
904100100,219048.735900676
914467040,254757.812713684
923276250,193552.224762784
535457040,133465.915539337
527356060,162354.209471121
535378020,109503.740695486
531451030,179330.682833884
907275090,219206.931170053
907192040,219811.715213884
528458150,310011.10652524
535301170,145268.799508756
535402330,198431.88656733
534403040,158006.472047882
535383070,117194.903077162
909254050,230972.025371554
908102160,118510.676352287
